"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_EmptyCan_DN","Empty Can","Empty Can","Empty Can","Leere Dose","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can",
"STR_CookZ_EmptyCan_DS","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","Eine leere Dose. Kann verwendet werden, um gekochtes Essen hineinzufüllen.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.",
"STR_CookZ_EmptyBox_DN","Empty Box","Empty Box","Empty Box","Leere Schachtel","Empty Box","Empty Box","Empty Box","Empty Box","Empty Box","Empty Box","Empty Box","Empty Box","Empty Box",
"STR_CookZ_EmptyBox_DS","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","Eine leere Schachtel. Kann verwendet werden, um gekochtes Essen hineinzufüllen.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.",
"STR_CookZ_Slot_EmptyCans","Empty Cans","Empty Cans","Empty Cans","Leere Dosen","Empty Cans","Empty Cans","Empty Cans","Empty Cans","Empty Cans","Empty Cans","Empty Cans","Empty Cans","Empty Cans",
"STR_CookZ_Slot_EmptyBoxes","Empty Boxes","Empty Boxes","Empty Boxes","Leere Schachteln","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes","Empty Boxes",
"STR_CookZ_Cookbook_DN","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor-Kochbuch","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook","Survivor Cookbook",
"STR_CookZ_Cookbook_DS","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","Dieses Kochbuch enthält Rezepte, die dir helfen, in jeder Situation gut zu essen. Ideal für das Kochen unter extremen Bedingungen.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.",
"STR_CookZ_Cookbook_Title","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Kochen für Überlebende","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors","Cooking for Survivors",
"STR_CookZ_Cookbook_Author","By a Survivor","By a Survivor","By a Survivor","Von einem Überlebenden","By a Survivor","By a Survivor","By a Survivor","By a Survivor","By a Survivor","By a Survivor","By a Survivor","By a Survivor","By a Survivor",
"STR_CookZ_FriedPotatoesBox_DN","Fried Potatoes","Fried Potatoes","Fried Potatoes","Bratkartoffeln","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes","Fried Potatoes",
"STR_CookZ_FriedPotatoesBox_DS","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Knusprig gebratene Kartoffelscheiben, außen goldbraun und innen weich, ideal als Beilage oder Snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.",
"STR_CookZ_FriedPotatoesBox_Opened_DS","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Knusprig gebratene Kartoffelscheiben, außen goldbraun und innen weich, ideal als Beilage oder Snack. Nach dem Öffnen rasch verzehren.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.",
"STR_CookZ_StirFryBox_DN","Stir Fry","Stir Fry","Stir Fry","Gebratenes Gemüse","Stir Fry","Stir Fry","Stir Fry","Stir Fry","Stir Fry","Stir Fry","Stir Fry","Stir Fry","Stir Fry",
"STR_CookZ_StirFryBox_DS","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Gemüse, das in einer heißen Pfanne geschwenkt wird, ergibt ein lebendiges, leicht angebratenes Gericht mit perfektem Gleichgewicht von Textur und Geschmack.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.",
"STR_CookZ_StirFryBox_Opened_DS","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Gemüse, das in einer heißen Pfanne geschwenkt wird, ergibt ein lebendiges, leicht angebratenes Gericht mit perfektem Gleichgewicht von Textur und Geschmack. Nach dem Öffnen rasch verzehren.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.",
"STR_CookZ_FishAndChipsBox_DN","Fish And Chips","Fish And Chips","Fish And Chips","Fish & Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips","Fish And Chips",
"STR_CookZ_FishAndChipsBox_DS","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Knusprig panierter Fisch, dazu dicke Pommes – eine einfache, aber leckere Kombination aus Geschmack und Textur.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.",
"STR_CookZ_FishAndChipsBox_Opened_DS","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Knusprig panierter Fisch, dazu dicke Pommes – eine einfache, aber leckere Kombination aus Geschmack und Textur. Nach dem Öffnen rasch verzehren.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.",
"STR_CookZ_RicePuddingBox_DN","Rice Pudding","Rice Pudding","Rice Pudding","Milchreis","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding","Rice Pudding",
"STR_CookZ_RicePuddingBox_DS","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","Eine einfache Mischung aus Reis und Milch, zu einer weichen, cremigen Konsistenz gekocht. Warm serviert mit Früchten für etwas Süße.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.",
"STR_CookZ_RicePuddingBox_Opened_DS","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","Eine einfache Mischung aus Reis und Milch, zu einer weichen, cremigen Konsistenz gekocht. Warm serviert mit Früchten für etwas Süße. Nach dem Öffnen rasch verzehren.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.",
"STR_CookZ_MushroomRisottoBox_DN","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Pilzrisotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto","Mushroom Risotto",
"STR_CookZ_MushroomRisottoBox_DS","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Reis, gekocht mit Pilzen, einfach und sättigend. Es ist cremig und hat einen soliden, erdigen Geschmack.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.",
