"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZPlants_WheatSeedsPack_DN","Packed Wheat Seeds","Packed Wheat Seeds","Sáček pšeničných semínek","Weizensamenpäckchen","Пакет семян пшеницы","Saszetka z nasionami pszenicy","Bustina di semi di grano","Sobre de semillas de trigo","Sachet de graines de blé","小包小麦种子","小袋入りの小麦の種","Pacote de sementes de trigo","小包小麦种子",
"STR_CookZPlants_WheatSeedsPack_DS","A package of wheat seeds.","A package of wheat seeds.","Malý sáček s pšeničnými semeny.","Ein Päckchen mit Weizensamen.","Небольшой пакет с семенами пшеницы.","Mała paczka z nasionami pszenicy.","Una bustina di semi di grano.","Un sobre con semillas de trigo.","Un sachet contenant des graines de blé.","一小包小麦种子。","小麦の種が入った小袋です。","Um pacotinho de sementes de trigo.","一小包小麦种子。",
"STR_CookZPlants_WheatSeeds_DN","Wheat Seeds","Wheat Seeds","Pšeničná semínka","Weizensamen","Семена пшеницы","Nasiona pszenicy","Semi di grano","Semillas de trigo","Graines de blé","小麦种子","小麦の種","Sementes de trigo","小麦种子",
"STR_CookZPlants_WheatSeeds_DS","These seeds, if planted in the ground and given some loving care, will grow into wheat plants.","These seeds, if planted in the ground and given some loving care, will grow into wheat plants.","Tato semínka vyrostou v pšenici, pokud je zasadíte a dobře se o ně postaráte.","Diese Samen wachsen zu Weizenpflanzen heran, wenn sie mit Liebe gepflegt werden.","Эти семена вырастут в пшеницу, если посадить их в землю и ухаживать за ними с любовью.","Te nasiona, odpowiednio posadzone i pielęgnowane, wyrosną w pszenicę.","Questi semi, se piantati e curati con amore, cresceranno in piante di grano.","Estas semillas, si se plantan y se cuidan con cariño, crecerán en plantas de trigo.","Ces graines, plantées et bien entretenues, donneront des plants de blé.","如果播种并细心照料，这些种子会长成小麦。","これらの種は、丁寧に植えて世話をすれば、小麦に育ちます。","Essas sementes, se plantadas e cuidadas com carinho, crescerão em plantas de trigo.","如果播种并细心照料，这些种子会长成小麦。",
"STR_CookZPlants_PlantWheat_DN","Wheat Plant","Wheat Plant","Pšeničná rostlina","Weizenpflanze","Растение пшеницы","Roślina pszenicy","Pianta di grano","Planta de trigo","Plant de blé","小麦植株","小麦の植物","Planta de trigo","小麦植株",
"STR_CookZPlants_PlantWheat_DS","A tall, golden wheat plant. Harvest when ripe to start your journey toward homemade bread—or at least some nice flour.","A tall, golden wheat plant. Harvest when ripe to start your journey toward homemade bread—or at least some nice flour.","Vysoká, zlatá pšeničná rostlina. Sklízej ji, když dozraje – první krok k domácímu chlebu, nebo alespoň k mouce.","Eine hohe, goldene Weizenpflanze. Ernte sie im richtigen Moment – der erste Schritt zu hausgemachtem Brot oder zumindest etwas Mehl.","Высокое золотистое растение пшеницы. Убери урожай вовремя — и ты на пути к домашнему хлебу или хотя бы к муке.","Wysoka, złocista roślina pszenicy. Zbierz ją, gdy dojrzeje – pierwszy krok do domowego chleba, albo przynajmniej do mąki.","Una pianta di grano alta e dorata. Raccoglila quando è matura – il primo passo verso del pane fatto in casa o almeno un po' di farina.","Una alta planta de trigo dorado. Cosechala cuando esté madura: el primer paso hacia pan casero, o al menos un poco de harina.","Une grande plante de blé dorée. Récoltez-la bien mûre pour commencer votre aventure vers du pain maison – ou au moins de la bonne farine.","一株高大的金色小麦。成熟时收割，是通往自制面包（或至少做点面粉）的第一步。","背の高い金色の小麦の植物。よく熟したら収穫して、自家製パンへの第一歩を踏み出そう。あるいは、少なくとも少しの小麦粉に。","Uma alta planta de trigo dourada. Colha quando estiver madura para começar sua jornada rumo ao pão caseiro — ou pelo menos alguma boa farinha.","一株高大的金色小麦。成熟时收割，是通往自制面包（或至少做点面粉）的第一步。",
"STR_CookZPlants_WheatEars_DN","Wheat Ears","Wheat Ears","Pšeničné klasy","Weizenähren","Колосья пшеницы","Kłosy pszenicy","Spighe di grano","Espigas de trigo","Épis de blé","成熟的小麦穗","小麦の穂","Espigas de trigo","成熟的小麦穗",
"STR_CookZPlants_WheatEars_DS","Golden ears of ripe wheat, fresh from the harvest. Ready to be milled into flour—or saved for future planting if you're feeling responsible.","Golden ears of ripe wheat, fresh from the harvest. Ready to be milled into flour—or saved for future planting if you're feeling responsible.","Zlaté klasy zralé pšenice, čerstvě sklizené. Připravené na mletí mouky – nebo na další výsadbu, pokud se cítíš zodpovědně.","Goldene, reife Weizenähren – frisch geerntet. Ideal zum Mahlen zu Mehl… oder zum Aufheben für die nächste Aussaat, wenn du vorhast, vorbildlich zu sein.","Золотистые зрелые колосья, только что с поля. Можно смолоть в муку… или приберечь на посев, если ты сегодня на волне ответственности.","Złote, dojrzałe kłosy pszenicy, prosto z pola. Idealne do zmielenia na mąkę – albo do przechowania na następny siew, jeśli masz taki nastrój.","Spighe dorate di grano maturo, appena raccolte. Perfette da macinare in farina… o da conservare per la prossima semina, se ti senti diligente.","Espigas doradas de trigo maduro, recién cosechadas. Listas para moler en harina… o guardar para la próxima siembra, si te sientes responsable.","Des épis de blé dorés et mûrs, tout juste récoltés. Parfaits pour faire de la farine… ou à garder pour la prochaine plantation, si vous êtes d’humeur sérieuse.","金黄色成熟的小麦穗，刚刚收割。可以磨成面粉——或者存起来，下次种植时再用（如果你够负责的话）。","収穫したての黄金色の小麦の穂。粉に挽くもよし、次の栽培に備えて取っておくもよし（責任感があれば）。","Espigas douradas de trigo maduro, recém-colhidas. Prontas para virar farinha — ou para guardar e plantar depois, se estiver no clima certo.","金黄色成熟的小麦穗，刚刚收割。可以磨成面粉——或者存起来下次再种（如果你觉得自己够负责）。",
"STR_CookZPlants_MortarAndPestle_DN","Mortar and Pestle","Mortar and Pestle","Hmoždíř a tlouk","Mörser und Stößel","Ступка с пестиком","Moździerz z tłuczkiem","Mortaio e pestello","Mortero y mano","Mortier et pilon","研钵和研杵","すり鉢とすりこぎ","Pilão com almofariz","研钵和研杵",
"STR_CookZPlants_MortarAndPestle_DS","A well-worn mortar and pestle. Heavy, reliable, and perfect for when something needs to be ground down with care and a bit of elbow grease.","A well-worn mortar and pestle. Heavy, reliable, and perfect for when something needs to be ground down with care and a bit of elbow grease.","Obouchaný hmoždíř s tloukem. Těžký, spolehlivý a ideální, když je třeba něco rozmělnit s péčí – a trochou síly.","Ein gut genutzter Mörser mit Stößel. Schwer, verlässlich und perfekt, wenn etwas mit Sorgfalt (und ein wenig Muskelkraft) zerkleinert werden muss.","Проверенная ступка с пестиком. Тяжёлая, надёжная — идеально подходит, когда нужно что-то тщательно перетереть с усилием.","Wysłużony moździerz z tłuczkiem. Ciężki i niezawodny — idealny, gdy coś trzeba porządnie rozdrobnić z odrobiną staranności i siły.","Un mortaio consumato dal tempo. Pesante e affidabile, perfetto per quando serve macinare qualcosa con cura e un po’ di olio di gomito.","Un mortero bien usado. Pesado y fiable, perfecto para cuando hace falta triturar algo con cuidado y un poco de esfuerzo.","Un mortier bien usé. Lourd, fiable, et parfait pour broyer ce qu’il faut avec soin et un soupçon d’huile de coude.","用旧的研钵和研杵。沉重可靠，适合在需要细致研磨时施展点力气。","使い込まれたすり鉢とすりこぎ。重くて信頼できる、丁寧に、そしてちょっと力を込めてすり潰す時にぴったり。","Um pilão com almofariz bem gasto. Pesado e confiável — ideal quando algo precisa ser moído com cuidado e um pouco de força.","用旧的研钵和研杵。沉重可靠，适合在需要细致研磨时施展点力气。",
